Question,Options,Correct Answer,Explanation
"Which South Indian kingdom was famous for its naval power?","(a) Chalukya, (b) Chola, (c) Hoysala, (d) Pandya","(b) Chola","The Cholas were a powerful Tamil dynasty known for their extensive maritime trade and naval prowess."
"Who ordered the transfer of the capital from Delhi to Daulatabad?","(a) Sultan Firoz Tughlaq, (b) Sultan Ghiyasuddin Tughlaq, (c) Sultan Mubarak, (d) Sultan Muhammad bin Tughlaq","(d) Sultan Muhammad bin Tughlaq","Muhammad bin Tughlaq was a controversial ruler who made several ambitious but often unsuccessful reforms, including the relocation of the capital."
"With which Rajput clan did Akbar first establish matrimonial relations?","(a) Bundelas, (b) Kachwahas, (c) Rathores, (d) Sisodias","(b) Kachwahas","Akbar's alliance with the Kachwahas was a strategic move to consolidate his power in northern India and gain the support of Rajput rulers."
"Which of the following factories in Bengal was established by the Portuguese?","(a) Bandel, (b) Chinsurah, (c) Hooghly, (d) Srirampur","(a) Bandel","Bandel was a Portuguese trading post established in Bengal during the 16th century."
"Which ruler granted the diwani to the East India Company?","(a) Farrukhsiyar, (b) Shah Alam I, (c) Shah Alam II, (d) Shuja-ud-Daula","(b) Shah Alam I","The diwani, the right to collect revenue, was granted to the East India Company by Shah Alam I after the Battle of Plassey."
"The Hunter Commission report focused on the development of:","(a) Girls' education, (b) Higher education, (c) Primary education, (d) Technical education","(c) Primary education","The Hunter Commission recommended reforms in primary education in India."
"Who started the Marathi weekly 'Bahishkrit Bharat'?","(a) Bal Gangadhar Tilak, (b) B.R. Ambedkar, (c) V.D. Savarkar, (d) Gopal Krishna Gokhale","(b) B.R. Ambedkar","'Bahishkrit Bharat' was a newspaper started by B.R. Ambedkar to advocate for the rights of the Dalit community."
"Dyarchy was introduced in India through:","(a) The Government of India Act, 1935, (b) Morley-Minto Reforms, (c) Montagu-Chelmsford Reforms, (d) Simon Commission Plan","(a) The Government of India Act, 1935","Dyarchy, a system of dual governance, was introduced in British India through the Government of India Act, 1935."
"The first Indian to contest elections to the British House of Commons was:","(a) Dadabhai Naoroji, (b) Gopal Krishna Gokhale, (c) Feroze Shah Mehta, (d) W.C. Banerjee","(a) Dadabhai Naoroji","Dadabhai Naoroji was the first Indian to be elected to the British Parliament."
"Which of the following statements about the Home Rule League is incorrect?","(a) The idea was first proposed by Annie Besant in 1914-15.","(a) The idea was first proposed by Annie Besant in 1914-15.","This statement is true. Annie Besant did propose the idea of a Home Rule League in 1914-15."
"Which of the following states is not part of the Chota Nagpur Plateau?","(a) Bihar, (b) Jharkhand, (c) Odisha, (d) West Bengal","(c) Odisha","The Chota Nagpur Plateau is primarily located in Jharkhand, Bihar, and parts of West Bengal. Odisha is not part of this region."
"Sriharikota Island is located near:","(a) Chilka Lake, (b) Godavari Estuary, (c) Mahanadi Estuary, (d) Pulicat Lake","(b) Godavari Estuary","Sriharikota Island, a major spaceport in India, is located near the mouth of the Godavari River."
"The Indian sanctuary with the highest population of elephants is:","(a) Manas, (b) Kaziranga, (c) Dudhwa, (d) Nanda Devi","(a) Manas","Manas National Park in Assam is renowned for its large population of elephants."
"The Indian Pulses Research Institute is located in:","(a) Lucknow, (b) Kanpur, (c) Faizabad, (d) Varanasi","(a) Lucknow","The Indian Pulses Research Institute is situated in Lucknow, Uttar Pradesh."
"Match List-I (Mining Areas) with List-II (Minerals) and select the correct answer using the codes given below: List-I (Mining Areas): A. Gurumahisani, B. Talcher, C. Jadugoda, D. Zawar List-II (Minerals): 1. Zinc, 2. Uranium, 3. Iron Ore, 4. Coal","(a) A-2, B-1, C-3, D-4, (b) A-4, B-3, C-1, D-2, (c) A-4, B-3, C-2, D-1, (d) A-3, B-2, C-1, D-4","(c) A-4, B-3, C-2, D-1","Gurumahisani is known for coal mining (4). Talcher is associated with coal mining (3). Jadugoda is a major uranium mining area (2). Zawar is famous for zinc mining (1)."
"Arrange the following ports of India in the order of their location from north to south: 1. Kochi, 2. Mormugao, 3. New Mangalore, 4. Nhava Sheva","(a) 2, 1, 3, 4, (b) 4, 2, 3, 1, (c) 4, 2, 1, 3, (d) 2, 3, 4, 1","(c) 4, 2, 1, 3","Starting from the north, the ports are: Nhava Sheva, Mormugao, Kochi, and New Mangalore."
"Which African river crosses the Tropic of Capricorn twice?","(a) Congo, (b) Limpopo, (c) Niger, (d) Zambezi","(d) Zambezi","The Zambezi River is the only major African river that crosses the Tropic of Capricorn twice."
"Which of the following is not correctly matched?","(a) Chinook - United States, (b) Buran - Sahara, (c) Blizzard - Chile, (d) Sirocco - Iran","(c) Blizzard - Chile","Blizzards are primarily associated with cold, snowy climates like those in Canada, the United States, and Russia. Chile, being in South America, typically doesn't experience blizzards."
"Entisol is:","(a) Alluvial soil, (b) Black cotton soil, (c) Laterite soil, (d) Red soil","(a) Alluvial soil","Entisols are young soils that have not yet developed distinct horizons. They are often found in recent floodplains or alluvial deposits."
"Match List-I (Country) with List-II (Capital) and select the correct answer using the codes given below: List-I (Country): A. Tanzania, B. Kenya, C. Namibia, D. Morocco List-II (Capital): 1. Rabat, 2. Nairobi, 3. Dodoma, 4. Windhoek","(a) 3, 2, 4, 1, (b) 1, 2, 3, 4, (c) 4, 3, 2, 1, (d) 3, 1, 4, 2","(a) 3, 2, 4, 1","Tanzania's capital is Dodoma (3). Kenya's capital is Nairobi (2). Namibia's capital is Windhoek (4). Morocco's capital is Rabat (1)."
"Who has the right to seek the advice of the Supreme Court of India on a legal matter?","(a) Prime Minister, (b) President, (c) Any High Court, (d) All of the above","(d) All of the above","The Supreme Court of India can provide advisory opinions to the President, Prime Minister, or any High Court."
"Which article under Fundamental Rights is related to the exploitation of children?","(a) Article 17, (b) Article 19, (c) Article 23, (d) Article 24","(d) Article 24","Article 24 of the Indian Constitution prohibits the employment of children below a specified age."
"The jurisdiction of the Supreme Court of India to settle disputes between the Centre and the States falls under which of the following categories?","(a) Advisory, (b) Appellate, (c) Constitutional","(c) Constitutional","The Supreme Court has the power to adjudicate disputes between the Union and the States under its constitutional jurisdiction."
"The main objective of Panchayati Raj is:","(a) To increase employment, (b) To increase agricultural production, (c) To increase political awareness among people, (d) To involve people in development administration","(d) To involve people in development administration","Panchayati Raj aims to empower local communities and involve them in decision-making processes related to development."
"The Electoral College for the election of the President of India consists of:","(a) All members of the Union Parliament and State Legislatures, (b) All members of the Union Parliament and State Legislative Assemblies, (c) All elected members of the Union Parliament and State Legislative Assemblies, (d) All elected members of the Union Parliament and State Legislative Assemblies","(c) All elected members of the Union Parliament and State Legislative Assemblies","The Electoral College for the President's election comprises only the elected members of both the Lok Sabha and the Rajya Sabha (Union Parliament) and the State Legislative Assemblies."
"Shah Jahan bestowed the title of 'Shah Iqbal' on which of his sons?","(a) Dara Shikoh, (b) Shuja, (c) Aurangzeb, (d) Murad","(a) Dara Shikoh","Shah Jahan favored Dara Shikoh, his eldest son, and bestowed upon him the title of 'Shah Iqbal'."
"Akbar built the Buland Darwaza to commemorate the victory of:","(a) Sindh, (b) Multan, (c) Odisha, (d) Gujarat","(d) Gujarat","Akbar constructed the Buland Darwaza to celebrate his conquest of Gujarat."
"The initial goal of the Aligarh Movement was:","(a) To promote traditional Muslim education, (b) To establish a Muslim state in India based on religious grounds, (c) To promote Western scientific education among Indian Muslims, (d) To foster Hindu-Muslim unity against the British","(c) To promote Western scientific education among Indian Muslims","The Aligarh Movement, founded by Sir Syed Ahmad Khan, aimed to modernize Muslim education and encourage social and political reforms."
"Who established the Tatwabodhini Sabha in 1839 to propagate Raja Ram Mohan Roy's ideas?","(a) Ishwar Chandra Vidyasagar, (b) Dayanand Saraswati, (c) Devendranath Tagore, (d) Bal Shastri Jambhekar","(c) Devendranath Tagore","Devendranath Tagore, a prominent figure in the Brahmo Samaj movement, founded the Tatwabodhini Sabha to spread Raja Ram Mohan Roy's reformist views."
"The Partition of Bengal was implemented by Lord Curzon in 1905. In which year was this partition revoked?","(a) 1905, (b) 1909, (c) 1910, (d) 1911","(d) 1911","The Partition of Bengal was reversed in 1911 due to widespread protests and opposition."
"Who stated that Brahmins and Shramanas were two types of philosophers?","(a) Kautilya, (b) Megasthenes, (c) Upagupta, (d) None of the above","(b) Megasthenes","Megasthenes, the Greek ambassador to the Mauryan court, observed and described Indian society in his work 'Indica.' He categorized philosophers into Brahmins and Shramanas."
"Who constructed the Sudarshan Lake?","(a) Chandragupta Maurya, (b) Samudragupta, (c) Chandragupta Vikramaditya, (d) Bimbisara","(a) Chandragupta Maurya","Chandragupta Maurya, the founder of the Mauryan Empire, constructed the Sudarshan Lake as part of his irrigation and flood control measures."
"Who founded the Ajivika sect?","(a) Makkhali Goshal, (b) Vasubandhu, (c) Upagupta, (d) Dignaga","(a) Makkhali Goshal","Makkhali Goshal was the founder of the Ajivika sect, which emphasized determinism and karma."
"Who established the Vikramshila University?","(a) Kumaril Bhatta, (b) Madhavacharya, (c) Dharmapala, (d) Pulakeshin II","(c) Dharmapala","Dharmapala, a Pala dynasty ruler, founded the Vikramshila University, a renowned center of learning during the medieval period."
"Which Mughal emperor sent a survey team to Garhwal to find the source of the Ganges River?","(a) Akbar, (b) Jahangir, (c) Shah Jahan, (d) Aurangzeb","(a) Akbar","Akbar was curious about the source of the Ganges and dispatched a survey team to Garhwal to investigate."
"Among the following peninsular rivers, which one has the longest course?","(a) Godavari, (b) Krishna, (c) Narmada, (d) Kaveri","(a) Godavari","The Godavari River is the longest river among the peninsular rivers of India."
"Which one of the following forest types is most widely distributed in India?","(a) Tropical Evergreen, (b) Tropical Dry Deciduous, (c) Temperate Evergreen, (d) Coniferous","(b) Tropical Dry Deciduous","Tropical Dry Deciduous forests are the most widespread type of forest in India, covering a significant portion of the country."
"Kabini River is a tributary of:","(a) Kaveri, (b) Narmada, (c) Tapi, (d) Godavari","(a) Kaveri","The Kabini River is a major tributary of the Kaveri River in southern India."
"The McMahon Line demarcates the boundary between:","(a) Sikkim and China, (b) Arunachal Pradesh and China, (c) Uttarakhand, (d) Himachal Pradesh and China","(b) Arunachal Pradesh and China","The McMahon Line is the international boundary between India (Arunachal Pradesh) and China."
"The 'Chipko Movement' for afforestation was started by:","(a) Bhagat Singh Rawat, (b) Kalyan Singh Rawat, (c) Sundarlal Bahuguna, (d) Mohan Singh Negi","(c) Sundarlal Bahuguna","The Chipko Movement, a grassroots environmental movement, was initiated by Sundarlal Bahuguna to protect trees from being cut down."
"What is the main function of the Public Accounts Committee?","(a) To examine the annual reports of the Comptroller and Auditor General (CAG), (b) To intervene in the day-to-day activities of the government, (c) To provide suggestions to the Prime Minister, (d) To pass orders","(a) To examine the annual reports of the Comptroller and Auditor General (CAG)","The Public Accounts Committee scrutinizes the CAG's reports to ensure financial accountability and prevent irregularities."
"In which city is the headquarters of the Association of Southeast Asian Nations (ASEAN) located?","(a) Jakarta, (b) Bali, (c) Manila, (d) Hanoi","(a) Jakarta","The ASEAN Secretariat, the administrative body of the ASEAN, is based in Jakarta, Indonesia."
"Which of the following words was not included in the Preamble of the Indian Constitution adopted on November 26, 1949?","(a) Secular, (b) Socialist, (c) Democratic, (d) Republic","(b) Socialist","The word 'Socialist' was added to the Preamble of the Indian Constitution through the 42nd Amendment in 1976."
"According to the Indian Constitution, who is the head of the state?","(a) Prime Minister, (b) President, (c) Home Minister, (d) Vice President","(b) President","The President of India is the nominal head of the state, although the Prime Minister exercises executive power."
"Which of the following rights is not available to a British citizen residing in India?","(a) Freedom of trade and commerce, (b) Equality before the law, (c) Right to life and personal liberty, (d) Religious freedom","(d) Religious freedom","While Indian citizens have the right to religious freedom, it is not guaranteed to foreign citizens, including British nationals."
"The President has the power to promulgate ordinances in:","(a) Dadra and Nagar Haveli, (b) Daman and Diu, (c) Goa, Daman and Diu, (d) Puducherry","(a) Dadra and Nagar Haveli, (b) Daman and Diu, (c) Goa, Daman and Diu, (d) Puducherry","The President has the power to promulgate ordinances in all the Union Territories, including Dadra and Nagar Haveli, Daman and Diu, Goa, and Puducherry."
"The spirit of the framers of the Indian Constitution is best reflected in:","(a) Preamble, (b) Fundamental Rights, (c) Directive Principles of State Policy, (d) Fundamental Duties","(a) Preamble","The Preamble serves as an introduction to the Constitution, outlining its fundamental values and goals. It encapsulates the vision of the framers."
"The Chairman of the Union Public Service Commission can be removed from office by:","(a) Prime Minister, (b) President, (c) Impeachment, (d) Council of Ministers","(c) Impeachment","The Chairman of the UPSC can only be removed from office through impeachment by Parliament."
"Which of the following statements about the Speaker of the Lok Sabha is not correct?","(a) The Speaker must become a member of the Lok Sabha within six months of assuming office, (b) The Speaker holds office until they cease to be a member of the Lok Sabha, (c) The Speaker remains in office even if the Lok Sabha is dissolved, (d) The Speaker can be removed by a vote of the Lok Sabha members","(c) The Speaker remains in office even if the Lok Sabha is dissolved","The Speaker's term ends when the Lok Sabha is dissolved, and a new Speaker is elected in the subsequent session."
"Which of the following is no longer in existence?","(a) National Commission for Women, (b) National Commission for Minorities, (c) Planning Commission, (d) National Human Rights Commission","(c) Planning Commission","The Planning Commission was replaced by the NITI Aayog in 2014. The other options are still active constitutional bodies."
